original_artist_id,related_artist_id,related_artist_name
6SER9tY2pDIDVWVf5Ql97B,4fE4Bf0MM6lMJpHiHniPuW,Damageplan
6SER9tY2pDIDVWVf5Ql97B,74Hj7BmnUXyx2udrIEIKwX,Fear Factory
57ylwQTnFnIhJh4nu4rxCs,7wqP36o9lqWteOCxBnXlwx,Soilwork
57ylwQTnFnIhJh4nu4rxCs,278ZYwGhdK6QTzE3MFePnP,Trivium
57ylwQTnFnIhJh4nu4rxCs,0DCw6lHkzh9t7f8Hb4Z0Sx,Arch Enemy
57ylwQTnFnIhJh4nu4rxCs,0lVlNsuGaOr9vMHCZIAKMt,Machine Head
57ylwQTnFnIhJh4nu4rxCs,3pulcT2wt7FEG10lQlqDJL,Amon Amarth
0GDGKpJFhVpcjIGF8N6Ewt,3JFsVIxOn7STeilPICkkB2,Lamb of God
0GDGKpJFhVpcjIGF8N6Ewt,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon
0GDGKpJFhVpcjIGF8N6Ewt,3ggwAqZD3lyT2sbovlmfQY,Meshuggah
0GDGKpJFhVpcjIGF8N6Ewt,1IQ2e1buppatiN1bxUVkrk,Slayer
0GDGKpJFhVpcjIGF8N6Ewt,7o6cOczXTB8ioTAAJTbESf,Jinjer
6Ghvu1VvMGScGpOUJBAHNH,1IHjrY7ygKbmLVoUV1VcXc,Superheaven
6Ghvu1VvMGScGpOUJBAHNH,4DUQBYAyOTZotSEdKhaf6c,Basement
6Ghvu1VvMGScGpOUJBAHNH,3RNrq3jvMZxD9ZyoOZbQOD,Korn
6Ghvu1VvMGScGpOUJBAHNH,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
6Ghvu1VvMGScGpOUJBAHNH,05fG473iIaoy82BF1aGhL8,Slipknot
3JFsVIxOn7STeilPICkkB2,0lVlNsuGaOr9vMHCZIAKMt,Machine Head
