track_name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Stand My Ground,Within Temptation,3hE8S8ohRErocpkY7uJW4a,0.251,0.866,5,-4.072,0,0.0503,0.0494,0.000873,0.116,0.129,87.714,audio_features,15z9QEJOBV6hDdWsdZwDKP,spotify:track:15z9QEJOBV6hDdWsdZwDKP,https://api.spotify.com/v1/tracks/15z9QEJOBV6hDdWsdZwDKP,https://api.spotify.com/v1/audio-analysis/15z9QEJOBV6hDdWsdZwDKP,267987,4
From the Cradle to Enslave,Cradle Of Filth,0NTSMFFapnyZfvmCwzcYPd,0.342,0.926,7,-6.313,0,0.0939,3.96e-05,0.683,0.186,0.0972,147.313,audio_features,14JG4VbsqeLsFuDJlkybOT,spotify:track:14JG4VbsqeLsFuDJlkybOT,https://api.spotify.com/v1/tracks/14JG4VbsqeLsFuDJlkybOT,https://api.spotify.com/v1/audio-analysis/14JG4VbsqeLsFuDJlkybOT,396829,4
Stinkfist,TOOL,2yEwvVSSSUkcLeSTNyHKh8,0.286,0.728,0,-6.608,1,0.0616,0.000174,0.836,0.133,0.467,171.441,audio_features,0pwObEOHolQZSldJ2q1wpy,spotify:track:0pwObEOHolQZSldJ2q1wpy,https://api.spotify.com/v1/tracks/0pwObEOHolQZSldJ2q1wpy,https://api.spotify.com/v1/audio-analysis/0pwObEOHolQZSldJ2q1wpy,312120,4
Blood and Thunder,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,0.364,0.935,2,-6.548,1,0.0724,8.58e-06,0.729,0.0317,0.478,92.717,audio_features,3jagGO7eHHuaD53ibehkux,spotify:track:3jagGO7eHHuaD53ibehkux,https://api.spotify.com/v1/tracks/3jagGO7eHHuaD53ibehkux,https://api.spotify.com/v1/audio-analysis/3jagGO7eHHuaD53ibehkux,228587,4
Stone the Crow,DOWN,1m0B9ak05G0jqDY4ACLhQu,0.444,0.911,11,-6.117,0,0.0398,0.0139,0.00955,0.0868,0.556,106.437,audio_features,7DuRbuweGD2cpGN74cpPAF,spotify:track:7DuRbuweGD2cpGN74cpPAF,https://api.spotify.com/v1/tracks/7DuRbuweGD2cpGN74cpPAF,https://api.spotify.com/v1/audio-analysis/7DuRbuweGD2cpGN74cpPAF,282507,4
I Wanna Be Somebody,W.A.S.P.,3BVkDHWRvLJEyKdvhLbjsq,0.285,0.825,1,-7.049,0,0.0466,0.000826,0.0,0.268,0.516,164.611,audio_features,6w8dBm5KlXxWejYrbGS1EJ,spotify:track:6w8dBm5KlXxWejYrbGS1EJ,https://api.spotify.com/v1/tracks/6w8dBm5KlXxWejYrbGS1EJ,https://api.spotify.com/v1/audio-analysis/6w8dBm5KlXxWejYrbGS1EJ,223533,4
Just One Fix,Ministry,1DXylZlWbVvlckNqwvjTEt,0.539,0.982,0,-4.495,1,0.0592,1.42e-05,0.462,0.371,0.145,132.984,audio_features,0Vcpo9El50PNNbZXfKbNti,spotify:track:0Vcpo9El50PNNbZXfKbNti,https://api.spotify.com/v1/tracks/0Vcpo9El50PNNbZXfKbNti,https://api.spotify.com/v1/audio-analysis/0Vcpo9El50PNNbZXfKbNti,310293,4
Black No. 1 (Little Miss Scare -All),Type O Negative,0blJzvevdXrp21YeI2vbco,0.348,0.7,4,-8.885,1,0.0611,0.0397,0.00228,0.106,0.416,93.614,audio_features,710B9xFjNOisQtKtppZE9p,spotify:track:710B9xFjNOisQtKtppZE9p,https://api.spotify.com/v1/tracks/710B9xFjNOisQtKtppZE9p,https://api.spotify.com/v1/audio-analysis/710B9xFjNOisQtKtppZE9p,675653,4
Replica,Fear Factory,74Hj7BmnUXyx2udrIEIKwX,0.574,0.943,11,-5.238,1,0.0769,3.69e-05,0.0317,0.366,0.72,112.009,audio_features,5YeQoMo5py82YmqXMTjM5S,spotify:track:5YeQoMo5py82YmqXMTjM5S,https://api.spotify.com/v1/tracks/5YeQoMo5py82YmqXMTjM5S,https://api.spotify.com/v1/audio-analysis/5YeQoMo5py82YmqXMTjM5S,237360,4
I Don't Believe In Love - Remastered 2003,Queensrÿche,2OgUPVlWYgGBGMefZgGvCO,0.551,0.991,2,-2.642,0,0.0962,0.0338,2.06e-05,0.429,0.259,117.98,audio_features,3p9GbXMy1f9Efhdfj0QNBG,spotify:track:3p9GbXMy1f9Efhdfj0QNBG,https://api.spotify.com/v1/tracks/3p9GbXMy1f9Efhdfj0QNBG,https://api.spotify.com/v1/audio-analysis/3p9GbXMy1f9Efhdfj0QNBG,263560,4
